아이디,비밀번호,이름,성별,이메일
pretty12,pretty12,나예뻐,여,pretty12@naver.com
cool34,cool34,나멋져,남,cool34@gamil.com
puppy56,puppy56,강아지,여,puppy56@daum.net
butterfly7,butterfly7,이나비,여,butterfly7@gmail.com
smart89,smart89,김똑똑,남,smart89@naver.com
gildong10,gildong10,홍길동,남,gildong10@daum.net
gilsoon11,gilsoon11,홍길순,여,gilsoon11@daum.net
happy12,happy12,이행복,남,happy12@naver.com
fi_num,fi_name,board_id,,
6,스크린샷 2023-06-22 155635.png,21,,
7,스크린샷 2023-06-22 163444.png,23,,
8,스크린샷 2023-06-22 163515.png,23,,
9,스크린샷 2023-06-22 171718.png,24,,
